Contour,Area,kModel (normalized mode 1),kModel (normalized mode 2)
A00,1873.08,0.167058,1.59972
A01,2272.12,0.458489,-0.707389
A02,2809.43,-0.693161,0.466437
A03,2426.16,-0.115061,0.262155
A04,3243.35,-0.91965,0.126199
A05,3373.43,-1.32065,0.152319
A06,2937.78,-0.619695,0.0904117
A07,2232.62,0.11974,0.569413
A08,2700.9,-0.748096,1.1586
A09,4127.6,-2.09608,0.484938
A10,2901.63,-0.976964,0.660611
A11,2672.39,-0.555252,0.596097
A12,2815.5,-0.605556,-0.23171
A13,3463.76,-1.04574,-0.470471
A14,4229.76,-1.55717,-1.48768
A15,3685.76,-2.09755,0.863696
A16,2973.36,-1.15347,1.24615
A17,1698.33,0.622284,1.39471
A18,2908.46,-0.467366,-0.0726326
A19,2293.49,0.466963,-0.624435
A20,2690.83,-0.452179,0.496698
A21,1267.04,1.69022,0.224295
A22,1324.23,1.51754,0.313544
A23,2575.71,-0.259462,0.494075
A24,2018.19,-0.026903,1.47071
A25,2266.38,0.0332747,0.882666
A26,2637.01,-0.111086,-0.372832
A27,1351.44,1.29386,0.908055
A28,3213.89,-0.808282,-0.591468
A29,3461.39,-0.855053,-1.1172
A30,2341.23,0.190482,-0.133077
A31,2649.26,-0.406711,0.344964
A32,2631.13,-0.116917,-0.269271
A33,2253.34,0.0684328,0.657953
A34,3208.28,-2.16607,2.27425
A35,2518.76,-0.128743,-0.0306146
A36,3668.83,-1.29313,-1.18683
A37,1834.16,0.180295,1.73208
A38,3713.55,-1.52474,0.0933229
A39,1826.73,0.559128,0.864023
A40,2991.18,-0.633572,-0.38097
A41,3243.85,-0.841276,-0.576002
A42,4051.38,-1.73525,-0.560608
A43,3146.25,-1.21988,0.779881
A44,2468.67,0.394142,-1.32319
A45,1325.13,1.43135,0.781665
A46,4007.78,-2.30318,1.12135
A47,2978.4,-0.714832,0.271073
A48,3126,-0.387632,-1.29201
A49,2999.17,-0.961058,0.273018
A50,3659.42,-0.833047,-1.59343
A51,1764.02,0.548039,1.22483
A52,3289.98,-0.932633,-0.516544
A53,2984.18,-0.563403,-0.384073
A54,2967.79,-0.844036,0.517546
A55,2704.55,-0.252293,-0.555744
