Contour,Area,kModel (normalized mode 1),kModel (normalized mode 2)
B00,667.272,2.64821,1.10129
B01,1852.91,1.01555,-0.992585
B02,2372.52,0.044469,0.280718
B03,2008.51,0.351509,0.654622
B04,2099.52,-0.335542,2.06365
B05,1852.99,0.735955,0.311404
B06,2707.93,0.498287,-2.27172
B07,1769.06,1.00414,-0.28311
B08,2812.19,-0.383876,-0.404158
B09,2208.47,-0.176998,1.5015
B10,1026.02,1.5865,1.87294
B11,1472.65,1.05472,1.06834
B12,1700.31,0.625699,1.13819
B13,1697.12,0.776994,0.752845
B14,1490.95,0.86509,1.53709
B15,2260.4,0.263307,-0.0731952
B16,3039.1,-0.0629302,-1.89232
B17,1454.17,1.54988,-0.375467
B18,2852.84,-0.415014,-0.433921
B19,3052.78,-0.262055,-1.51357
B20,1621.77,1.29345,-0.367612
B21,1468.72,1.21465,0.767712
B22,2128.29,0.143419,0.829462
B23,2199.87,0.208895,-0.0274489
B24,1768.31,0.251937,1.97731
B25,1808.75,1.04211,-0.549297
B26,2191.74,0.419808,-0.251654
B27,2225.95,0.581957,-1.37849
B28,2661.17,-0.693059,1.22764
B29,2528.95,-0.512002,0.817964
B30,1343,1.65609,-0.14988
B31,1621.88,1.04983,0.307928
B32,1460.16,1.60088,-0.81469
B33,2768.52,-0.657049,0.288538
B34,1648.51,1.23013,-0.568759
B35,1687.48,1.16904,-0.239764
B36,1619.07,1.33348,-0.476877
B37,2120.89,0.698337,-0.731068
B38,2128.57,0.861788,-1.72857
B39,1294.65,1.77665,-0.271781
B40,1155.08,2.00515,-0.361331
B41,1151.68,1.68619,1.01606
B42,2169.33,0.356505,0.278673
B43,1917.2,0.269476,1.2788
B44,1763.97,0.425964,1.44333
B45,2530.29,0.156471,-0.722438
B46,1878.97,0.860668,-0.27289
B47,2032.71,0.956124,-1.2857
B48,1621.18,1.39017,-1.22807
B49,2081.31,-0.0794569,1.37258
B50,2087.34,0.614075,-0.415192
B51,2073.23,-0.137456,1.70046
B52,2151.38,0.537142,-0.413227
