Contour,Area,kModel (normalized mode 1),kModel (normalized mode 2)
X00,4049.66,-2.64346,1.66676
X01,3246.38,-1.39344,0.995899
X02,2857.53,0.0195346,-1.7895
X03,2934.76,0.142429,-2.49079
X04,3226.1,-0.838712,-0.536054
X05,2935.4,-0.466272,-0.418664
X06,3064.17,-1.03343,0.599692
X07,3081.33,-0.830227,-0.232052
X08,2601.64,0.309805,-1.27748
X09,2472.12,-0.157955,0.368249
X10,3558.36,-1.07072,-1.54154
X11,3333.63,-0.319485,-2.34515
X12,4881.06,-1.62132,-2.46114
X13,2646.29,0.285657,-1.57719
X14,3729.72,-1.41367,-0.305579
X15,3931.95,-1.03964,-1.42885
X16,3224.63,-0.517772,-0.797399
X17,3793.16,-1.20204,-1.22511
X18,2118.01,0.492264,0.105989
X19,3463.1,-0.93555,-0.985551
X20,2370.07,0.0104341,0.423816
X21,2161.36,0.0452514,0.635478
X22,1760.68,0.980668,-0.306152
X23,3455.95,-0.729862,-1.26796
X24,3839.49,-1.92119,0.766673
X25,1761.24,0.85413,0.528691
X26,2619.74,-0.172355,-0.458886
X27,1750,0.962578,-0.0434672
X28,3434.9,-0.757873,-1.32038
X29,1532.43,1.53904,-0.670076
X30,2718.35,-0.0187111,-0.836587
X31,2168.58,0.718727,-0.885124
X32,1903.73,0.921075,-0.508664
X33,1825.85,0.749835,0.1606
X34,2207.49,0.515315,-0.557561
X35,2917.42,-0.95118,0.918964
X36,2196.08,0.57199,-0.518149
X37,2132.26,0.187794,0.502622
X38,3421.46,-0.877888,-0.538208
X39,2447.12,-0.0432952,0.0586894
X40,1151.45,1.49618,1.48614
X41,3171.82,-1.49601,1.31317
X42,950.302,2.1556,0.778327
