Contour,Mode 1,Mode 2
WT00-1,-28.2355,2.59654
WT00-2,-25.1753,-0.841233
WT00-3,-10.5432,1.44773
WT00-4,-5.71981,-1.52416
WT01-1,-21.397,0.827429
WT01-2,-15.0866,-3.74874
WT01-3,-15.1931,-3.18948
WT01-4,-10.838,1.24769
WT02-1,-22.1656,-3.03321
WT02-2,-15.3692,6.99528
WT02-3,-4.50581,5.14129
WT03-1,-16.2665,-0.876781
WT03-2,-14.3209,0.971043
WT03-3,-20.937,5.94791
WT03-4,-15.2916,-0.72413
WT03-5,2.57846,-1.08132
WT03-6,13.1159,3.12781
WT04-1,1.2269,0.95135
WT04-2,10.7313,6.26762
WT04-3,7.87657,-2.43164
WT04-4,14.5315,-6.12441
WT05-1,-5.69778,3.94362
WT05-2,4.30921,1.96489
WT05-3,10.8777,-7.43962
WT05-4,22.7813,16.6185
WT05-5,39.1825,-21.645
WT05-6,37.0784,-7.8608
WT06-01,-20.9121,-3.84628
WT06-02,-15.0963,0.409525
WT06-03,-2.17889,3.74727
WT06-04,-4.53845,2.62263
WT06-05,1.08838,-5.57559
WT06-06,3.08571,-4.17969
WT06-07,3.7241,1.10159
WT06-08,12.8386,6.22589
WT06-09,26.8853,5.10841
WT06-10,49.3661,10.6111
WT06-11,49.9632,9.0891
WT07-1,-25.8581,1.98611
WT07-2,-16.4425,1.63487
WT07-3,-18.8777,0.849512
WT07-4,-3.92789,2.7477
WT07-5,-1.94073,0.707715
WT07-6,-2.11479,-0.277836
WT07-7,11.7987,6.58365
WT07-8,15.8996,8.65367
WT07-9,21.6818,6.49
WT08-1,-36.6547,-4.70543
WT08-2,-36.3792,-0.321959
WT08-3,-11.7734,-2.45673
WT08-4,0.996468,5.10832
WT08-5,17.4085,-1.14377
WT08-6,-1.76225,-1.06368
WT08-7,-1.89393,-3.87969
WT08-8,19.9644,1.34703
WT08-9,72.3584,-11.639
WT09-1,-35.1832,-3.01316
WT09-2,-36.4846,2.52159
WT09-3,-17.5343,1.98499
WT09-4,-16.9841,0.552643
WT09-5,-8.08883,3.76351
WT09-6,0.32386,4.03915
WT09-7,12.3796,-7.01272
WT09-8,5.91742,-4.80172
WT09-9,12.9818,-3.99389
WT10-01,-23.0319,1.65724
WT10-02,-17.0427,0.535396
WT10-03,-10.6261,-1.04837
WT10-04,-11.6083,-4.19559
WT10-05,-11.7412,-0.810489
WT10-06,-5.44002,-1.30222
WT10-07,-0.769633,2.72682
WT10-08,-4.508,6.1165
WT10-09,3.79653,-0.986943
WT10-10,11.4659,-8.39037
WT10-11,29.0283,-0.163586
WT10-12,43.3406,-9.48427
WT10-13,48.254,19.2926
WT10-14,60.3706,-12.8388
WT11-01,-27.8566,1.78585
WT11-02,-28.8619,0.447756
WT11-03,-2.56436,-0.975875
WT11-04,-10.7653,4.25526
WT11-05,-18.4893,2.08447
WT11-06,-14.7121,2.78415
WT11-07,1.90133,-0.46771
WT11-08,-2.01581,1.31861
WT11-09,-0.353571,-5.29666
WT11-10,-1.49009,-1.25841
WT11-11,-2.02738,0.047944
WT11-12,2.71192,-5.14174
WT11-13,13.5969,-1.13022
WT11-14,7.81928,-1.72431
WT11-15,24.0266,-8.18965
WT11-16,8.36783,4.95009
WT11-17,18.3316,-1.52768
WT11-18,21.1269,-0.114284
WT11-19,34.5097,16.9575
WT11-20,77.976,-2.77468
WT12-01,-36.0574,-3.9317
WT12-02,-32.2851,-4.52513
WT12-03,-27.5959,-5.61176
WT12-04,-27.9249,1.40544
WT12-05,-17.3041,-3.1935
WT12-06,-11.9094,1.38589
WT12-07,-9.5502,1.93062
WT12-08,-10.0884,3.17935
WT12-09,-1.67142,7.385
WT12-10,8.76477,-2.65987
WT12-11,15.104,7.66451
WT12-12,54.7891,2.24011
WT12-13,54.8576,2.97201
WT13-01,-26.829,-1.39152
WT13-02,-25.5151,-0.879653
WT13-03,-36.9754,-4.03356
