Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized)
A00,0.167058,1.59972,-0.0236807,-0.505423
A01,0.458489,-0.707389,-0.901397,0.691929
A02,-0.693161,0.466437,-0.461726,-0.861455
A03,-0.115061,0.262155,0.28018,-1.69824
A04,-0.91965,0.1262,-0.44619,1.62349
A05,-1.32065,0.152319,-0.627515,-1.82141
A06,-0.619695,0.0904116,-0.561006,0.775872
A07,0.11974,0.569412,-0.486782,0.434078
A08,-0.748096,1.1586,-0.565258,0.347612
A09,-2.09608,0.484938,-1.26451,0.0628243
A10,-0.976964,0.660611,-0.642671,-1.60088
A11,-0.555252,0.596097,-0.546107,-0.306225
A12,-0.605556,-0.23171,-0.908977,-3.13074
A13,-1.04574,-0.470471,-1.11507,0.595122
A14,-1.55717,-1.48768,-1.46381,-0.0986476
A15,-2.09755,0.863696,0.736778,-2.66176
A16,-1.15347,1.24615,-0.163976,0.490029
A17,0.622284,1.39471,-0.456209,0.703731
A18,-0.467367,-0.0726327,-0.804485,1.81
A19,0.466963,-0.624435,-0.981149,1.01312
A20,-0.452179,0.496698,-0.743089,0.7654
A21,1.69022,0.224295,-0.282411,-0.200779
A22,1.51754,0.313544,-0.615082,-1.06918
A23,-0.259462,0.494075,-0.68405,1.2982
A24,-0.0269031,1.47071,0.137333,-1.25928
A25,0.0332747,0.882666,0.00431464,2.18277
A26,-0.111086,-0.372832,-0.724011,0.533622
A27,1.29386,0.908055,-0.371885,-0.880489
A28,-0.808282,-0.591468,-1.57582,-0.769735
A29,-0.855052,-1.1172,-0.839573,0.560484
A30,0.190482,-0.133077,-0.844277,1.16509
A31,-0.406711,0.344964,-0.887172,-0.149378
A32,-0.116917,-0.269271,-0.810407,0.826714
A33,0.0684328,0.657953,-0.406667,0.517583
A34,-2.16607,2.27425,0.242287,-1.6418
A35,-0.128743,-0.0306145,-0.922967,-0.382853
A36,-1.29313,-1.18683,-1.54548,-2.31615
A37,0.180295,1.73208,-0.124582,-0.372308
A38,-1.52474,0.0933229,0.0186563,0.181309
A39,0.559128,0.864023,-0.246807,-0.13635
A40,-0.633572,-0.38097,-0.620062,-0.411291
A41,-0.841276,-0.576001,-0.557653,-0.377772
A42,-1.73525,-0.560608,-1.18244,-0.830608
A43,-1.21988,0.779881,-0.77342,-0.464241
A44,0.394142,-1.32319,-1.33171,0.836739
A45,1.43135,0.781665,0.155751,0.203749
A46,-2.30318,1.12135,0.671061,0.796916
A47,-0.714832,0.271073,-0.382331,0.754352
A48,-0.387632,-1.29201,-0.0417159,0.87389
A49,-0.961059,0.273018,-0.369801,-1.00755
A50,-0.833047,-1.59343,0.0128467,0.977183
A51,0.548039,1.22483,0.914381,0.803154
A52,-0.932633,-0.516545,-0.625241,-0.0732393
A53,-0.563403,-0.384073,-0.732517,-0.150481
A54,-0.844036,0.517546,-0.905903,0.266728
A55,-0.252293,-0.555744,-0.924093,-1.07625
B00,2.64821,1.1013,-0.0961869,-0.711043
B01,1.01555,-0.992585,-0.726337,-1.43519
B02,0.044469,0.280718,1.7613,0.953402
B03,0.351509,0.654621,-0.082113,-0.427756
B04,-0.335542,2.06365,-0.125789,0.316872
B05,0.735956,0.311404,-0.0966325,0.430295
B06,0.498287,-2.27172,0.732086,0.355144
B07,1.00414,-0.28311,0.223962,-0.363106
