Contour,Mode 1,Mode 2,Mode 3,Mode 4
A00,9.11268,37.5248,-0.336705,-5.54644
A01,25.0096,-16.5933,-12.8165,7.59313
A02,-37.8105,10.9413,-6.56506,-9.45349
A03,-6.27633,6.14939,3.98375,-18.6363
A04,-50.165,2.96028,-6.34416,17.8159
A05,-72.0389,3.57296,-8.92234,-19.9879
A06,-33.8031,2.1208,-7.97668,8.51432
A07,6.53154,13.3568,-6.92132,4.76351
A08,-40.8071,27.1773,-8.03713,3.81465
A09,-114.337,11.3753,-17.9795,0.689426
A10,-53.2913,15.496,-9.13783,-17.5679
A11,-30.2879,13.9827,-7.76485,-3.36047
A12,-33.0318,-5.43524,-12.9243,-34.3563
A13,-57.0427,-11.0359,-15.8546,6.53078
A14,-84.9401,-34.8966,-20.8132,-1.08254
A15,-114.417,20.2598,10.4759,-29.2098
A16,-62.9194,29.231,-2.3315,5.37751
A17,33.9443,32.7158,-6.48663,7.72265
A18,-25.4939,-1.70375,-11.4386,19.8627
A19,25.4719,-14.6474,-13.9505,11.1179
A20,-24.6654,11.6511,-10.5656,8.39939
A21,92.1981,5.26131,-4.01547,-2.20332
A22,82.7784,7.35484,-8.74557,-11.733
A23,-14.1531,11.5896,-9.72618,14.2463
A24,-1.46751,34.4986,1.95267,-13.8191
A25,1.81507,20.7048,0.0613478,23.9535
A26,-6.05951,-8.74556,-10.2944,5.8559
A27,70.5774,21.3004,-5.28766,-9.66236
A28,-44.0901,-13.8741,-22.4058,-8.44697
A29,-46.6413,-26.2064,-11.9375,6.15068
A30,10.3904,-3.12159,-12.0044,12.7855
A31,-22.1852,8.09185,-12.6143,-1.63926
A32,-6.37758,-6.31633,-11.5228,9.07224
A33,3.73287,15.4337,-5.78221,5.67989
A34,-118.155,53.3473,3.44497,-18.0169
A35,-7.02268,-0.718128,-13.1232,-4.20138
A36,-70.5375,-27.8396,-21.9744,-25.4171
A37,9.83469,40.6296,-1.77137,-4.08565
A38,-83.1714,2.18909,0.265266,1.98966
A39,30.4993,20.2675,-3.50923,-1.49629
A40,-34.56,-8.93646,-8.81637,-4.51345
A41,-45.8898,-13.5113,-7.92901,-4.14562
A42,-94.6543,-13.1503,-16.8126,-9.11498
A43,-66.542,18.2938,-10.9969,-5.09452
A44,21.4996,-31.0382,-18.935,9.18226
